,Mark,Model,Year,Type,Distance,Engine_capacity_cm3,Fuel_type,Transmission,Price(euro)
47,Dacia,Duster,2015,SUV,170000,1500,Diesel,1,8800
48,Volkswagen,Golf,2010,Universal,191500,1400,Petrol,1,5700
49,Mercedes,Vito,1999,Minivan,1,2300,Diesel,1,4150
50,Volkswagen,Touran,2013,Minivan,1,1200,Petrol,1,7599
51,Volkswagen,Passat,1991,Sedan,300000,1800,Petrol,1,1150
52,BMW,3 Series,2004,Sedan,250000,2000,Diesel,1,4499
53,Nissan,Qashqai,2015,Crossover,158000,1500,Diesel,1,11750
54,Peugeot,3008,2018,Crossover,132000,1500,Diesel,2,16500
57,Renault,Megane,2005,Universal,11111,1500,Diesel,1,3200
58,Nissan,Qashqai,2013,SUV,180000,1500,Diesel,1,8999
59,Ford,Transit Connect,2012,Minivan,151658,1800,Diesel,1,3899
60,Renault,Scenic,2015,Microvan,185480,1461,Diesel,1,7550
62,Volkswagen,Polo,2007,Hatchback,305988,1400,Diesel,1,3250
63,BMW,5 Series,2014,Sedan,231250,2000,Diesel,2,18000
64,Vaz,2121niva,2004,Minivan,12000,1700,Petrol,1,1800
65,BMW,5 Series,1998,Sedan,11111,2500,Petrol,1,3200
66,Nissan,Pulsar,2014,Hatchback,87100,1200,Petrol,1,7950
67,Toyota,Avensis,2000,Sedan,420000,1600,Metan/Propan,1,2999
68,Seat,Alhambra,2002,Minivan,2,2000,Petrol,1,4299
69,Honda,CR-V,2002,Universal,275100,2000,Petrol,1,5900
70,BMW,5 Series,2015,Sedan,180236,2000,Diesel,2,21500
71,Honda,CR-V,2010,Crossover,183000,2200,Diesel,1,12999
72,Nissan,Note,2011,Hatchback,195000,1500,Diesel,1,5250
74,Opel,Astra,2010,Hatchback,190000,1300,Diesel,1,6500
75,Skoda,Rapid,2016,Universal,116000,1598,Petrol,2,10300
76,Volkswagen,Sharan,2006,Minivan,250000,2000,Diesel,1,6900
78,Nissan,Qashqai,2015,Crossover,149000,1200,Petrol,2,12500
79,Skoda,Superb,2016,Sedan,170000,2000,Diesel,2,17490
81,Toyota,Prius,2008,Hatchback,1,1500,Hybrid,2,6800
82,Toyota,Corolla,2006,Universal,256000,1400,Diesel,1,5490
83,Mazda,Tribute,2002,SUV,255000,2000,Petrol,1,3990
